CTFP,CensusTract_population,SDI_score,PovertyLT100_FPL_score,Single_Parent_Fam_score,Education_LT12years_score,HHNo_Vehicle_score,HHRenter_Occupied_score,HHCrowding_score,Nonemployed_score,sdi,pct_Poverty_LT100,pct_Single_Parent_Fam,pct_Education_LT12years,pct_NonEmployed,pctHH_No_Vehicle,pctHH_Renter_Occupied,pctHH_Crowding
39095004000,1614,94.0,89.0,100.0,85.0,90.0,85.0,55.0,86.0,1.4824237,0.26889715,0.49113923,0.21875,0.55960727,0.17119566,0.60190219,0.023097826
39095004200,1460,97.0,95.0,99.0,98.0,92.0,72.0,74.0,86.0,1.6162456,0.33630136,0.42809364,0.40273038,0.55749637,0.20147875,0.45471349,0.044362292
39095004400,3866,89.0,93.0,98.0,71.0,74.0,65.0,71.0,85.0,1.2420948,0.3131997,0.38146552,0.14729795,0.54327905,0.08791209,0.40384614,0.03846154
39095004501,2394,46.0,47.0,80.0,43.0,61.0,53.0,1.0,9.0,-0.15860656,0.097981498,0.20462634,0.078362577,0.21508588,0.060784314,0.32156864,0.0
39095004503,2705,51.0,64.0,73.0,36.0,82.0,40.0,1.0,20.0,-0.011833672,0.14048059,0.17423134,0.06666667,0.2589041,0.11986589,0.24727577,0.0
39095004504,3685,28.0,57.0,54.0,13.0,14.0,39.0,1.0,6.0,-0.66390038,0.12098093,0.12524655,0.030384615,0.19573538,0.01193634,0.24137931,0.0
39095004600,2410,94.0,91.0,94.0,92.0,78.0,78.0,55.0,95.0,1.4543612,0.28274429,0.30782029,0.27692309,0.72310966,0.10022271,0.5144766,0.023385301
39095004701,2366,94.0,98.0,99.0,66.0,91.0,89.0,50.0,93.0,1.4877367,0.40701607,0.40771812,0.13061969,0.68262911,0.18774319,0.65466928,0.019455252
39095004702,3466,95.0,99.0,100.0,88.0,95.0,87.0,1.0,88.0,1.5175946,0.47860962,0.45923913,0.24346969,0.5749656,0.27485749,0.62951237,0.0
39095004800,2580,97.0,98.0,97.0,95.0,93.0,85.0,37.0,97.0,1.6474808,0.4084726,0.34542313,0.33082271,0.84816754,0.21104185,0.59839714,0.011576136
39095004900,2981,92.0,81.0,96.0,79.0,81.0,87.0,79.0,94.0,1.3845801,0.20818995,0.33604336,0.1791531,0.71032935,0.11438475,0.63518196,0.051993068
39095005000,1693,78.0,82.0,93.0,44.0,69.0,71.0,50.0,89.0,0.8488332,0.21793349,0.29255319,0.079896905,0.59449762,0.07692308,0.44674557,0.01923077
39095005100,4331,99.0,99.0,99.0,90.0,96.0,90.0,63.0,96.0,1.7559522,0.48013246,0.40462428,0.26088631,0.79931587,0.30855227,0.68697596,0.030184461
39095005200,3127,87.0,96.0,96.0,84.0,69.0,58.0,39.0,76.0,1.183153,0.35162014,0.34434563,0.21146044,0.4695946,0.077041604,0.34976888,0.013097072
39095005300,2154,94.0,97.0,95.0,92.0,85.0,69.0,71.0,69.0,1.4832104,0.39578456,0.31531531,0.28125,0.42843512,0.13432837,0.43419269,0.03934871
39095005400,2673,89.0,83.0,95.0,81.0,96.0,84.0,1.0,93.0,1.2278333,0.22205494,0.32171157,0.1929604,0.67032039,0.31339979,0.58803988,0.0
39095005501,2589,62.0,50.0,87.0,57.0,70.0,65.0,1.0,82.0,0.30519649,0.10429688,0.2393539,0.10854947,0.51208597,0.079295151,0.40161526,0.0
39095005502,3042,60.0,74.0,75.0,31.0,71.0,53.0,1.0,64.0,0.24320503,0.17807309,0.18249258,0.058380414,0.4042263,0.081294961,0.31942445,0.0
39095005503,2407,42.0,48.0,62.0,46.0,33.0,47.0,1.0,53.0,-0.25643063,0.099293724,0.14285715,0.084490046,0.3635653,0.028292682,0.28390244,0.0
39095005600,5227,42.0,40.0,88.0,50.0,20.0,55.0,1.0,26.0,-0.27769327,0.08291164,0.25102881,0.092346795,0.27838829,0.016932752,0.33043057,0.0
39095005701,3828,88.0,85.0,97.0,78.0,89.0,86.0,25.0,55.0,1.2135938,0.23824452,0.35630965,0.1770297,0.37085062,0.16457286,0.6130653,0.0062814071
39095005702,4982,67.0,85.0,92.0,43.0,33.0,72.0,1.0,33.0,0.47311163,0.23845845,0.28737542,0.078359351,0.2992565,0.027913159,0.45547187,0.0
39095005703,2655,61.0,75.0,96.0,44.0,57.0,53.0,1.0,24.0,0.29234147,0.18115942,0.33426967,0.0813618,0.27322033,0.055457745,0.32306337,0.0
39095005801,3355,67.0,54.0,95.0,38.0,74.0,84.0,28.0,65.0,0.45240456,0.11499403,0.32213211,0.069948189,0.4099099,0.09033481,0.58875555,0.0075805434
39095005802,5036,69.0,78.0,95.0,35.0,78.0,69.0,19.0,27.0,0.52984458,0.19688188,0.31928182,0.06530495,0.28281668,0.10178486,0.4351182,0.0038591414
39095005901,3056,26.0,52.0,39.0,15.0,29.0,13.0,36.0,43.0,-0.73390287,0.10863874,0.095926411,0.034020618,0.33078685,0.024048096,0.12224449,0.011022044
39095005902,4354,70.0,73.0,88.0,27.0,80.0,70.0,72.0,40.0,0.57658619,0.17464393,0.25108981,0.053032815,0.32100341,0.1098846,0.43903664,0.040642247
39095006000,2607,18.0,22.0,56.0,4.0,38.0,18.0,73.0,21.0,-1.0063432,0.051730845,0.12989046,0.012365592,0.26402879,0.032437444,0.14828545,0.042632066
39095006100,3235,37.0,35.0,79.0,40.0,31.0,45.0,26.0,25.0,-0.41753182,0.074640848,0.19781554,0.073266461,0.27492741,0.025806451,0.27383512,0.0064516128
39095006200,2576,58.0,44.0,33.0,64.0,83.0,63.0,41.0,72.0,0.20313789,0.090802804,0.084485404,0.1263594,0.44237652,0.12097476,0.38207138,0.013925152
39095006300,3355,47.0,49.0,86.0,40.0,21.0,56.0,49.0,10.0,-0.12664291,0.10208955,0.23279099,0.073170729,0.2214112,0.017556693,0.3365033,0.019019751
39095006400,2562,48.0,55.0,84.0,36.0,12.0,55.0,54.0,18.0,-0.098652519,0.11817825,0.22255193,0.067450494,0.25455821,0.010396975,0.33364838,0.02268431
39095006500,2393,81.0,85.0,82.0,70.0,85.0,90.0,1.0,17.0,0.95676845,0.2363953,0.21088435,0.14602804,0.24908958,0.13408723,0.68255252,0.0
39095006600,2515,94.0,96.0,90.0,82.0,89.0,80.0,65.0,76.0,1.475847,0.36637241,0.26365349,0.19611919,0.46791044,0.16489361,0.54255319,0.031914894
39095006700,1614,93.0,98.0,64.0,84.0,82.0,76.0,71.0,95.0,1.4157736,0.4238452,0.14754099,0.21231422,0.74110955,0.11830986,0.49295774,0.03943662
39095006800,5777,97.0,99.0,99.0,80.0,94.0,94.0,57.0,84.0,1.6597121,0.48934281,0.43906131,0.18626584,0.53145337,0.24012157,0.76215804,0.02431611
39095006900,2627,39.0,41.0,44.0,53.0,70.0,41.0,1.0,16.0,-0.34356642,0.085748315,0.10333333,0.099901572,0.24613117,0.078498296,0.25085324,0.0
39095007001,3846,4.0,2.0,28.0,14.0,12.0,25.0,1.0,9.0,-1.5857202,0.011440458,0.076241136,0.032436162,0.21351981,0.010253318,0.17913148,0.0
39095007002,1977,19.0,36.0,24.0,7.0,35.0,24.0,27.0,41.0,-0.98057568,0.075749874,0.068468466,0.019986216,0.32499999,0.029308323,0.17233294,0.0070339977
39095007101,4446,37.0,42.0,43.0,11.0,46.0,66.0,49.0,25.0,-0.39188257,0.087743104,0.1028522,0.027969727,0.27642617,0.04109589,0.41043204,0.018967334
39095007102,3528,23.0,32.0,38.0,24.0,44.0,30.0,32.0,10.0,-0.8186788,0.069132291,0.093047038,0.04754601,0.21936148,0.038834952,0.20194174,0.0090614883
39095007202,3610,59.0,58.0,54.0,44.0,77.0,77.0,1.0,41.0,0.21638022,0.12603365,0.12530713,0.081717454,0.32381997,0.097478993,0.50700283,0.0
39095007203,3742,12.0,28.0,17.0,21.0,13.0,11.0,20.0,41.0,-1.2175969,0.062266167,0.055865921,0.042597044,0.32383123,0.011356844,0.10938434,0.0041841003
39095007204,4685,81.0,82.0,90.0,54.0,83.0,85.0,38.0,42.0,0.94251114,0.21337719,0.26341948,0.1006135,0.32641771,0.12198392,0.60455763,0.012064343
39095007205,5352,84.0,82.0,95.0,51.0,89.0,95.0,26.0,67.0,1.0620503,0.21667601,0.31188118,0.095121287,0.42023635,0.16114865,0.78344595,0.0067567569
39095007301,5285,68.0,70.0,92.0,60.0,11.0,74.0,41.0,51.0,0.49084613,0.16313276,0.28561354,0.11492958,0.3551181,0.0097302077,0.4789916,0.013710747
39095007302,2917,81.0,81.0,79.0,77.0,77.0,62.0,35.0,85.0,0.94068861,0.21179815,0.19647355,0.17346939,0.54968941,0.10007819,0.38154808,0.010946051
39095007303,5094,96.0,97.0,100.0,75.0,94.0,98.0,62.0,48.0,1.5670446,0.39570189,0.5660184,0.16419832,0.34741202,0.23893805,0.87033474,0.029242016
39095007400,6437,88.0,87.0,68.0,76.0,64.0,81.0,84.0,85.0,1.2104776,0.25153857,0.15804195,0.16782713,0.54037493,0.066184863,0.54811716,0.064663373
39095007500,3962,69.0,89.0,14.0,52.0,42.0,72.0,48.0,62.0,0.52927911,0.2654101,0.049940545,0.097274795,0.39741752,0.036236119,0.45762712,0.018118059
39095007600,4486,4.0,2.0,26.0,5.0,6.0,17.0,34.0,47.0,-1.5695308,0.011368702,0.07110092,0.01700102,0.34442836,0.0050600884,0.14294749,0.010120177
39095007700,3362,42.0,31.0,37.0,24.0,78.0,68.0,43.0,50.0,-0.27762711,0.066850662,0.091011234,0.048702452,0.35389134,0.10217264,0.42513213,0.015267176
39095007800,3640,71.0,69.0,76.0,51.0,87.0,71.0,45.0,31.0,0.59779233,0.15694943,0.18669778,0.0949701,0.29382023,0.14878175,0.44945568,0.016588906
39095007901,2110,34.0,52.0,37.0,42.0,33.0,21.0,1.0,70.0,-0.50031608,0.11031175,0.091911763,0.077344283,0.43313953,0.027777778,0.1594203,0.0
39095007902,5517,55.0,43.0,68.0,67.0,64.0,57.0,36.0,28.0,0.11327495,0.090266451,0.16104612,0.13365617,0.28553694,0.0664322,0.34661978,0.011332552
39095008000,3642,34.0,52.0,54.0,32.0,59.0,20.0,1.0,28.0,-0.50570661,0.11065349,0.12432432,0.060989216,0.28477547,0.057756882,0.15580927,0.0
39095008100,4007,52.0,56.0,75.0,44.0,57.0,55.0,23.0,16.0,0.026409186,0.12063333,0.18139963,0.080161057,0.24764045,0.055241682,0.33207783,0.0056497175
39095008201,4970,12.0,17.0,22.0,7.0,32.0,23.0,55.0,27.0,-1.2043949,0.044869214,0.063829787,0.019326501,0.28320611,0.027070064,0.17038217,0.023354564
39095008202,5634,14.0,19.0,17.0,24.0,36.0,32.0,1.0,17.0,-1.1611687,0.047094002,0.054637864,0.048621554,0.24770643,0.030523919,0.21230069,0.0
39095008203,7460,39.0,45.0,58.0,20.0,59.0,48.0,20.0,49.0,-0.34905815,0.094282985,0.13424124,0.041013736,0.34861112,0.05815554,0.29077771,0.0044735032
39095008301,6524,63.0,63.0,60.0,35.0,74.0,69.0,60.0,48.0,0.34905389,0.14000934,0.13899614,0.064739414,0.34750831,0.089852005,0.43446088,0.027131783
39095008302,1584,5.0,21.0,20.0,8.0,21.0,11.0,1.0,4.0,-1.5004666,0.051282052,0.060674157,0.021240441,0.18719211,0.017937221,0.10762332,0.0
39095008400,4524,39.0,30.0,69.0,44.0,59.0,53.0,28.0,4.0,-0.35487249,0.065188169,0.16265561,0.080663949,0.18413237,0.057773601,0.32127759,0.0075152656
39095008500,4252,68.0,76.0,83.0,30.0,64.0,67.0,62.0,44.0,0.51034081,0.18759269,0.21685606,0.057302587,0.33424658,0.067307696,0.41666666,0.029380342
39095008600,5447,72.0,63.0,93.0,67.0,87.0,60.0,18.0,78.0,0.64368117,0.1384501,0.2934621,0.13361533,0.47988623,0.14609572,0.36356002,0.0025188916
39095008700,7132,66.0,77.0,59.0,54.0,41.0,74.0,1.0,61.0,0.43422177,0.19097027,0.13530655,0.100244,0.39420521,0.035060011,0.4734681,0.0
39095008800,7626,43.0,31.0,30.0,34.0,78.0,64.0,47.0,55.0,-0.23772235,0.067481332,0.07830739,0.064223386,0.37110633,0.10250918,0.38984087,0.017747859
39095008901,5866,8.0,19.0,25.0,8.0,9.0,32.0,1.0,7.0,-1.3825104,0.047993019,0.069565214,0.021313941,0.20744315,0.0076370169,0.20934412,0.0
39095008902,6009,5.0,6.0,29.0,12.0,38.0,14.0,1.0,10.0,-1.5252043,0.022905983,0.078088582,0.029364161,0.22281344,0.032178219,0.12582508,0.0
