MSA,year,code,count,count_patient,prevalence
10420,2016,A00-A09,657,75040,0.008755330490405118
10420,2016,A15-A19,13,75040,0.0001732409381663113
10420,2016,A20-A28,8,75040,0.00010660980810234541
10420,2016,A30-A49,582,75040,0.007755863539445629
10420,2016,A50-A64,453,75040,0.006036780383795309
10420,2016,A65-A69,46,75040,0.0006130063965884862
10420,2016,A70-A74,46,75040,0.0006130063965884862
10420,2016,A75-A79,1,75040,1.3326226012793176e-05
10420,2016,A80-A89,25,75040,0.0003331556503198294
10420,2016,A90-A99,4,75040,5.3304904051172706e-05
10420,2016,B00-B09,2678,75040,0.03568763326226013
10420,2016,B10-B10,1,75040,1.3326226012793176e-05
10420,2016,B15-B19,235,75040,0.0031316631130063966
10420,2016,B20-B20,80,75040,0.0010660980810234541
10420,2016,B25-B34,1207,75040,0.016084754797441366
10420,2016,B35-B49,3059,75040,0.04076492537313433
10420,2016,B50-B64,11,75040,0.00014658848614072494
10420,2016,B65-B83,34,75040,0.00045309168443496804
10420,2016,B85-B89,116,75040,0.0015458422174840086
10420,2016,B90-B94,6,75040,7.995735607675907e-05
10420,2016,B95-B97,2107,75040,0.028078358208955222
10420,2016,B99-B99,79,75040,0.0010527718550106609
10420,2016,C00-C14,60,75040,0.0007995735607675906
10420,2016,C15-C26,181,75040,0.002412046908315565
10420,2016,C30-C39,115,75040,0.0015325159914712154
10420,2016,C40-C41,15,75040,0.00019989339019189765
10420,2016,C43-C44,467,75040,0.006223347547974414
10420,2016,C45-C49,27,75040,0.00035980810234541576
10420,2016,C50-C50,494,75040,0.0065831556503198295
10420,2016,C51-C58,120,75040,0.0015991471215351812
10420,2016,C60-C63,263,75040,0.0035047974413646055
10420,2016,C64-C68,141,75040,0.001878997867803838
10420,2016,C69-C72,73,75040,0.0009728144989339019
10420,2016,C73-C75,150,75040,0.0019989339019189766
10420,2016,C76-C80,321,75040,0.00427771855010661
10420,2016,C7A-C7A,27,75040,0.00035980810234541576
10420,2016,C7B-C7B,10,75040,0.00013326226012793177
10420,2016,C81-C96,237,75040,0.003158315565031983
10420,2016,D00-D09,251,75040,0.0033448827292110873
10420,2016,D10-D36,7334,75040,0.09773454157782516
10420,2016,D37-D48,2622,75040,0.03494136460554371
10420,2016,D3A-D3A,25,75040,0.0003331556503198294
10420,2016,D49-D49,431,75040,0.005743603411513859
10420,2016,D50-D53,1371,75040,0.018270255863539444
10420,2016,D55-D59,196,75040,0.0026119402985074628
10420,2016,D60-D64,2159,75040,0.02877132196162047
10420,2016,D65-D69,804,75040,0.010714285714285714
10420,2016,D70-D77,1204,75040,0.016044776119402984
10420,2016,D78-D78,1,75040,1.3326226012793176e-05
10420,2016,D80-D89,379,75040,0.005050639658848614
10420,2016,E00-E07,6241,75040,0.08316897654584222
10420,2016,E08-E13,5342,75040,0.07118869936034115
10420,2016,E15-E16,260,75040,0.003464818763326226
10420,2016,E20-E35,1923,75040,0.025626332622601278
10420,2016,E40-E46,208,75040,0.002771855010660981
10420,2016,E50-E64,5823,75040,0.07759861407249467
10420,2016,E65-E68,5615,75040,0.07482675906183368
10420,2016,E70-E88,15903,75040,0.21192697228144988
10420,2016,E89-E89,432,75040,0.005756929637526652
10420,2016,F01-F09,433,75040,0.005770255863539446
10420,2016,F10-F19,5232,75040,0.0697228144989339
10420,2016,F20-F29,303,75040,0.0040378464818763326
10420,2016,F30-F39,7943,75040,0.1058502132196162
10420,2016,F40-F48,10937,75040,0.14574893390191898
10420,2016,F50-F59,1180,75040,0.01572494669509595
10420,2016,F60-F69,270,75040,0.003598081023454158
10420,2016,F70-F79,49,75040,0.0006529850746268657
10420,2016,F80-F89,543,75040,0.007236140724946695
10420,2016,F90-F98,2773,75040,0.03695362473347548
10420,2016,F99-F99,65,75040,0.0008662046908315565
10420,2016,G00-G09,53,75040,0.0007062899786780384
10420,2016,G10-G14,37,75040,0.0004930703624733475
10420,2016,G20-G26,710,75040,0.009461620469083156
10420,2016,G30-G32,135,75040,0.001799040511727079
10420,2016,G35-G37,292,75040,0.0038912579957356076
10420,2016,G40-G47,9167,75040,0.12216151385927505
10420,2016,G50-G59,1665,75040,0.02218816631130064
10420,2016,G60-G65,779,75040,0.010381130063965885
10420,2016,G70-G73,60,75040,0.0007995735607675906
10420,2016,G80-G83,188,75040,0.002505330490405117
10420,2016,G89-G99,4057,75040,0.05406449893390192
10420,2016,H00-H05,2067,75040,0.027545309168443496
10420,2016,H10-H11,2858,75040,0.038086353944562897
10420,2016,H15-H22,856,75040,0.01140724946695096
10420,2016,H25-H28,2053,75040,0.027358742004264393
10420,2016,H30-H36,884,75040,0.011780383795309168
10420,2016,H40-H42,1165,75040,0.01552505330490405
10420,2016,H43-H44,925,75040,0.012326759061833689
10420,2016,H46-H47,212,75040,0.0028251599147121535
10420,2016,H49-H52,4108,75040,0.05474413646055437
10420,2016,H53-H54,1250,75040,0.01665778251599147
10420,2016,H55-H57,492,75040,0.006556503198294243
10420,2016,H59-H59,10,75040,0.00013326226012793177
10420,2016,H60-H62,2332,75040,0.03107675906183369
10420,2016,H65-H75,5563,75040,0.07413379530916844
10420,2016,H80-H83,575,75040,0.0076625799573560765
10420,2016,H90-H94,2512,75040,0.03347547974413646
10420,2016,H95-H95,1,75040,1.3326226012793176e-05
10420,2016,I00-I02,17,75040,0.00022654584221748402
10420,2016,I05-I09,254,75040,0.003384861407249467
10420,2016,I10-I1A,14693,75040,0.19580223880597014
10420,2016,I20-I25,1955,75040,0.026052771855010662
10420,2016,I26-I28,380,75040,0.005063965884861407
10420,2016,I30-I5A,3637,75040,0.04846748400852879
10420,2016,I60-I69,713,75040,0.009501599147121535
10420,2016,I70-I79,1335,75040,0.017790511727078892
10420,2016,I80-I89,1484,75040,0.019776119402985074
10420,2016,I95-I99,513,75040,0.0068363539445629
10420,2016,J00-J06,18098,75040,0.24117803837953092
10420,2016,J09-J18,1655,75040,0.02205490405117271
10420,2016,J20-J22,3243,75040,0.04321695095948827
10420,2016,J30-J39,8785,75040,0.11707089552238806
10420,2016,J40-J4A,7046,75040,0.09389658848614073
10420,2016,J60-J70,86,75040,0.0011460554371002132
10420,2016,J80-J84,324,75040,0.0043176972281449896
10420,2016,J85-J86,21,75040,0.00027985074626865673
10420,2016,J90-J94,390,75040,0.005197228144989339
10420,2016,J95-J95,64,75040,0.0008528784648187633
10420,2016,J96-J99,1903,75040,0.025359808102345414
10420,2016,K00-K14,1338,75040,0.01783049040511727
10420,2016,K20-K31,7226,75040,0.09629530916844349
10420,2016,K35-K38,145,75040,0.0019323027718550106
10420,2016,K40-K46,1343,75040,0.017897121535181238
10420,2016,K50-K52,1424,75040,0.018976545842217484
10420,2016,K55-K64,5918,75040,0.07886460554371003
10420,2016,K65-K68,145,75040,0.0019323027718550106
10420,2016,K70-K77,1578,75040,0.021028784648187634
10420,2016,K80-K87,993,75040,0.013232942430703625
10420,2016,K90-K95,1069,75040,0.014245735607675907
10420,2016,L00-L08,3200,75040,0.042643923240938165
10420,2016,L10-L14,24,75040,0.0003198294243070363
10420,2016,L20-L30,5557,75040,0.07405383795309169
10420,2016,L40-L45,795,75040,0.010594349680170576
10420,2016,L49-L54,1035,75040,0.013792643923240939
10420,2016,L55-L59,1496,75040,0.01993603411513859
10420,2016,L60-L75,5593,75040,0.07453358208955224
10420,2016,L76-L76,42,75040,0.0005597014925373135
10420,2016,L80-L99,5880,75040,0.07835820895522388
10420,2016,M00-M02,54,75040,0.0007196162046908315
10420,2016,M05-M14,1804,75040,0.02404051172707889
10420,2016,M15-M19,5448,75040,0.07260127931769723
10420,2016,M20-M25,10888,75040,0.1450959488272921
10420,2016,M26-M27,302,75040,0.00402452025586354
10420,2016,M30-M36,503,75040,0.006703091684434968
10420,2016,M40-M43,1382,75040,0.018416844349680172
10420,2016,M45-M49,3149,75040,0.04196428571428571
10420,2016,M50-M54,10442,75040,0.13915245202558635
10420,2016,M60-M63,2432,75040,0.032409381663113
10420,2016,M65-M67,1375,75040,0.01832356076759062
10420,2016,M70-M79,11380,75040,0.15165245202558636
10420,2016,M80-M85,1575,75040,0.020988805970149255
10420,2016,M86-M90,666,75040,0.008875266524520255
10420,2016,M91-M94,691,75040,0.009208422174840086
10420,2016,M95-M95,85,75040,0.00113272921108742
10420,2016,M96-M96,219,75040,0.002918443496801706
10420,2016,M99-M99,2935,75040,0.03911247334754797
10420,2016,N00-N08,102,75040,0.001359275053304904
10420,2016,N10-N16,675,75040,0.008995202558635394
10420,2016,N17-N19,1021,75040,0.013606076759061834
10420,2016,N20-N23,1105,75040,0.01472547974413646
10420,2016,N25-N29,1086,75040,0.01447228144989339
10420,2016,N30-N39,4015,75040,0.053504797441364604
10420,2016,N40-N53,2678,75040,0.03568763326226013
10420,2016,N60-N65,2054,75040,0.027372068230277186
10420,2016,N70-N77,1497,75040,0.019949360341151384
10420,2016,N80-N98,7057,75040,0.09404317697228146
10420,2016,N99-N99,45,75040,0.000599680170575693
10420,2016,O00-O08,176,75040,0.002345415778251599
10420,2016,O09-O09,704,75040,0.009381663113006396
10420,2016,O10-O16,309,75040,0.004117803837953092
10420,2016,O20-O29,965,75040,0.012859808102345415
10420,2016,O30-O48,1445,75040,0.01925639658848614
10420,2016,O60-O77,751,75040,0.010007995735607676
10420,2016,O80-O82,534,75040,0.007116204690831556
10420,2016,O85-O92,160,75040,0.0021321961620469083
10420,2016,O94-O9A,843,75040,0.011234008528784648
10420,2016,P00-P04,176,75040,0.002345415778251599
10420,2016,P05-P08,199,75040,0.002651918976545842
10420,2016,P09-P09,21,75040,0.00027985074626865673
10420,2016,P10-P15,22,75040,0.0002931769722814499
10420,2016,P19-P29,111,75040,0.0014792110874200426
10420,2016,P35-P39,34,75040,0.00045309168443496804
10420,2016,P50-P61,329,75040,0.004384328358208955
10420,2016,P70-P74,81,75040,0.0010794243070362474
10420,2016,P76-P78,39,75040,0.0005197228144989339
10420,2016,P80-P83,52,75040,0.0006929637526652452
10420,2016,P84-P84,10,75040,0.00013326226012793177
10420,2016,P90-P96,373,75040,0.004970682302771855
10420,2016,Q00-Q07,93,75040,0.0012393390191897656
10420,2016,Q10-Q18,141,75040,0.001878997867803838
10420,2016,Q20-Q28,346,75040,0.004610874200426439
10420,2016,Q30-Q34,32,75040,0.00042643923240938164
10420,2016,Q35-Q37,23,75040,0.0003065031982942431
10420,2016,Q38-Q45,147,75040,0.001958955223880597
10420,2016,Q50-Q56,132,75040,0.0017590618336886994
10420,2016,Q60-Q64,175,75040,0.0023320895522388058
10420,2016,Q65-Q79,511,75040,0.0068097014925373135
10420,2016,Q80-Q89,437,75040,0.005823560767590618
10420,2016,Q90-Q99,82,75040,0.0010927505330490404
10420,2016,R00-R09,14406,75040,0.1919776119402985
10420,2016,R10-R19,10794,75040,0.14384328358208956
10420,2016,R20-R23,4611,75040,0.06144722814498934
10420,2016,R25-R29,1712,75040,0.02281449893390192
10420,2016,R30-R39,4950,75040,0.06596481876332623
10420,2016,R40-R46,3444,75040,0.045895522388059704
10420,2016,R47-R49,609,75040,0.008115671641791045
10420,2016,R50-R69,15212,75040,0.2027185501066098
10420,2016,R70-R79,4979,75040,0.06635127931769723
10420,2016,R80-R82,604,75040,0.00804904051172708
10420,2016,R83-R89,1023,75040,0.01363272921108742
10420,2016,R90-R94,5527,75040,0.07365405117270789
10420,2016,R97-R97,449,75040,0.005983475479744136
10420,2016,R99-R99,35,75040,0.0004664179104477612
10420,2016,S00-S09,2205,75040,0.029384328358208957
10420,2016,S10-S19,1178,75040,0.015698294243070364
10420,2016,S20-S29,1054,75040,0.01404584221748401
10420,2016,S30-S39,1820,75040,0.024253731343283583
10420,2016,S40-S49,1330,75040,0.017723880597014924
10420,2016,S50-S59,848,75040,0.011300639658848614
10420,2016,S60-S69,2227,75040,0.029677505330490406
10420,2016,S70-S79,653,75040,0.008702025586353945
10420,2016,S80-S89,2383,75040,0.03175639658848614
10420,2016,S90-S99,2165,75040,0.028851279317697227
10420,2016,T07-T07,29,75040,0.00038646055437100216
10420,2016,T14-T14,1491,75040,0.019869402985074627
10420,2016,T15-T19,352,75040,0.004690831556503198
10420,2016,T20-T25,133,75040,0.0017723880597014926
10420,2016,T26-T28,11,75040,0.00014658848614072494
10420,2016,T30-T32,75,75040,0.0009994669509594883
10420,2016,T33-T34,3,75040,3.9978678038379534e-05
10420,2016,T36-T50,610,75040,0.008128997867803838
10420,2016,T51-T65,305,75040,0.004064498933901919
10420,2016,T66-T78,845,75040,0.011260660980810234
10420,2016,T79-T79,36,75040,0.0004797441364605544
10420,2016,T80-T88,946,75040,0.012606609808102345
10420,2016,V00-V09,49,75040,0.0006529850746268657
10420,2016,V10-V19,39,75040,0.0005197228144989339
10420,2016,V20-V29,40,75040,0.0005330490405117271
10420,2016,V40-V49,373,75040,0.004970682302771855
10420,2016,V50-V59,6,75040,7.995735607675907e-05
10420,2016,V70-V79,3,75040,3.9978678038379534e-05
10420,2016,V80-V89,250,75040,0.003331556503198294
10420,2016,V90-V94,2,75040,2.6652452025586353e-05
10420,2016,W00-W19,1112,75040,0.014818763326226014
10420,2016,W20-W49,816,75040,0.010874200426439232
10420,2016,W50-W64,560,75040,0.007462686567164179
10420,2016,W65-W74,2,75040,2.6652452025586353e-05
10420,2016,W85-W99,45,75040,0.000599680170575693
10420,2016,X00-X08,7,75040,9.328358208955224e-05
10420,2016,X10-X19,25,75040,0.0003331556503198294
10420,2016,X30-X39,66,75040,0.0008795309168443497
10420,2016,X50-X50,42,75040,0.0005597014925373135
10420,2016,X52-X58,498,75040,0.0066364605543710025
10420,2016,X71-X83,14,75040,0.00018656716417910448
10420,2016,X92-Y09,56,75040,0.0007462686567164179
10420,2016,Y21-Y33,110,75040,0.0014658848614072495
10420,2016,Y35-Y38,1,75040,1.3326226012793176e-05
10420,2016,Y70-Y82,8,75040,0.00010660980810234541
10420,2016,Y83-Y84,14,75040,0.00018656716417910448
10420,2016,Y90-Y99,1090,75040,0.014525586353944563
10420,2016,Z00-Z13,43583,75040,0.5807969083155651
10420,2016,Z14-Z15,93,75040,0.0012393390191897656
10420,2016,Z16-Z16,3,75040,3.9978678038379534e-05
10420,2016,Z17-Z17,66,75040,0.0008795309168443497
10420,2016,Z18-Z18,27,75040,0.00035980810234541576
10420,2016,Z20-Z29,21233,75040,0.28295575692963754
10420,2016,Z30-Z39,5879,75040,0.07834488272921108
10420,2016,Z40-Z53,3622,75040,0.04826759061833689
10420,2016,Z55-Z65,280,75040,0.0037313432835820895
10420,2016,Z66-Z66,4,75040,5.3304904051172706e-05
10420,2016,Z67-Z67,15,75040,0.00019989339019189765
10420,2016,Z68-Z68,9236,75040,0.12308102345415778
10420,2016,Z69-Z76,7007,75040,0.09337686567164179
10420,2016,Z77-Z99,18527,75040,0.24689498933901918
10420,2017,A00-A09,649,63461,0.01022675343912009
10420,2017,A15-A19,13,63461,0.00020485022297158886
10420,2017,A20-A28,4,63461,6.303083783741195e-05
10420,2017,A30-A49,521,63461,0.008209766628322906
10420,2017,A50-A64,440,63461,0.006933392162115315
10420,2017,A65-A69,51,63461,0.0008036431824270024
10420,2017,A70-A74,50,63461,0.0007878854729676494
10420,2017,A75-A79,3,63461,4.727312837805896e-05
10420,2017,A80-A89,20,63461,0.0003151541891870598
10420,2017,A90-A99,2,63461,3.151541891870598e-05
10420,2017,B00-B09,2169,63461,0.03417847181733663
10420,2017,B10-B10,1,63461,1.575770945935299e-05
10420,2017,B15-B19,171,63461,0.002694568317549361
10420,2017,B20-B20,69,63461,0.0010872819526953563
10420,2017,B25-B34,984,63461,0.01550558610800334
10420,2017,B35-B49,2552,63461,0.04021367454026883
10420,2017,B50-B64,17,63461,0.0002678810608090008
10420,2017,B65-B83,21,63461,0.00033091189864641274
10420,2017,B85-B89,87,63461,0.00137092072296371
10420,2017,B90-B94,2,63461,3.151541891870598e-05
10420,2017,B95-B97,2501,63461,0.039410031357841824
10420,2017,B99-B99,33,63461,0.0005200044121586486
10420,2017,C00-C14,60,63461,0.0009454625675611793
10420,2017,C15-C26,167,63461,0.002631537479711949
10420,2017,C30-C39,118,63461,0.0018594097162036526
10420,2017,C40-C41,16,63461,0.0002521233513496478
10420,2017,C43-C44,409,63461,0.006444903168875372
10420,2017,C45-C49,31,63461,0.0004884889932399427
10420,2017,C50-C50,462,63461,0.0072800617702210805
10420,2017,C51-C58,111,63461,0.0017491057499881817
10420,2017,C60-C63,270,63461,0.004254581554025307
10420,2017,C64-C68,109,63461,0.0017175903310694758
10420,2017,C69-C72,59,63461,0.0009297048581018263
10420,2017,C73-C75,107,63461,0.0016860749121507697
10420,2017,C76-C80,303,63461,0.004774585966183955
10420,2017,C7A-C7A,23,63461,0.00036242731756511875
10420,2017,C7B-C7B,6,63461,9.454625675611793e-05
10420,2017,C81-C96,213,63461,0.0033563921148421867
10420,2017,D00-D09,260,63461,0.004097004459431777
10420,2017,D10-D36,6707,63461,0.10568695734388049
10420,2017,D37-D48,2305,63461,0.03632152030380864
10420,2017,D3A-D3A,21,63461,0.00033091189864641274
10420,2017,D49-D49,371,63461,0.005846110209419959
10420,2017,D50-D53,1189,63461,0.018735916547170703
10420,2017,D55-D59,140,63461,0.0022060793243094184
10420,2017,D60-D64,1775,63461,0.027969934290351554
10420,2017,D65-D69,716,63461,0.01128251997289674
10420,2017,D70-D77,1121,63461,0.0176643923039347
10420,2017,D80-D89,369,63461,0.005814594790501252
10420,2017,E00-E07,5344,63461,0.08420919935078237
10420,2017,E08-E13,4789,63461,0.07546367060084146
10420,2017,E15-E16,226,63461,0.0035612423378137753
10420,2017,E20-E35,1608,63461,0.025338396810639607
10420,2017,E40-E46,228,63461,0.003592757756732481
10420,2017,E50-E64,5390,63461,0.08493405398591261
10420,2017,E65-E68,5661,63461,0.08920439324939727
10420,2017,E70-E88,14233,63461,0.2242794787349711
10420,2017,E89-E89,405,63461,0.00638187233103796
10420,2017,F01-F09,336,63461,0.005294590378342604
10420,2017,F10-F19,4655,63461,0.07335213753328816
10420,2017,F20-F29,263,63461,0.0041442775878098356
10420,2017,F30-F39,7175,63461,0.1130615653708577
10420,2017,F40-F48,9959,63461,0.1569310285056964
10420,2017,F50-F59,1166,63461,0.018373489229605584
10420,2017,F60-F69,231,63461,0.0036400308851105402
10420,2017,F70-F79,46,63461,0.0007248546351302375
10420,2017,F80-F89,441,63461,0.006949149871574668
10420,2017,F90-F98,2345,63461,0.03695182868218276
10420,2017,F99-F99,55,63461,0.0008666740202644144
10420,2017,G00-G09,34,63461,0.0005357621216180017
10420,2017,G10-G14,20,63461,0.0003151541891870598
10420,2017,G20-G26,629,63461,0.00991159924993303
10420,2017,G30-G32,123,63461,0.0019381982635004176
10420,2017,G35-G37,281,63461,0.00442791635807819
10420,2017,G40-G47,8013,63461,0.1262665258977955
10420,2017,G50-G59,1452,63461,0.02288019413498054
10420,2017,G60-G65,656,63461,0.01033705740533556
10420,2017,G70-G73,70,63461,0.0011030396621547092
10420,2017,G80-G83,184,63461,0.00289941854052095
10420,2017,G89-G99,4115,63461,0.06484297442523755
10420,2017,H00-H05,1877,63461,0.029577220655205558
10420,2017,H10-H11,2517,63461,0.039662154709191474
10420,2017,H15-H22,844,63461,0.013299506783693921
10420,2017,H25-H28,2099,63461,0.033075432155181925
10420,2017,H30-H36,839,63461,0.013220718236397158
10420,2017,H40-H42,1099,63461,0.017317722695828933
10420,2017,H43-H44,933,63461,0.014701942925576339
10420,2017,H46-H47,180,63461,0.0028363877026835378
10420,2017,H49-H52,3474,63461,0.054742282661792284
10420,2017,H53-H54,1027,63461,0.01618316761475552
10420,2017,H55-H57,467,63461,0.0073588503175178455
10420,2017,H59-H59,11,63461,0.00017333480405288287
10420,2017,H60-H62,1920,63461,0.030254802161957736
10420,2017,H65-H75,4853,63461,0.07647216400624006
10420,2017,H80-H83,454,63461,0.007154000094546257
10420,2017,H90-H94,2189,63461,0.03449362600652369
10420,2017,I00-I02,11,63461,0.00017333480405288287
