MSA,year,code,count,count_patient,prevalence
10420,2020,S00-T88,3926,23287,0.16859191823764333
10420,2020,U00-U85,621,23287,0.026667239232189634
10420,2020,V00-Y99,1092,23287,0.04689311633100013
10420,2020,Z00-Z99,19098,23287,0.8201142268218319
10420,2021,A00-B99,3422,27544,0.12423758350275922
10420,2021,C00-D49,3659,27544,0.13284199825733373
10420,2021,D50-D89,1900,27544,0.06898054022654662
10420,2021,E00-E89,9504,27544,0.3450479233226837
10420,2021,F01-F99,8481,27544,0.3079073482428115
10420,2021,G00-G99,5231,27544,0.18991431890792912
10420,2021,H00-H59,3110,27544,0.11291025268661051
10420,2021,H60-H95,2647,27544,0.09610078419982573
10420,2021,I00-I99,6000,27544,0.21783328492593668
10420,2021,J00-J99,8356,27544,0.3033691548068545
10420,2021,K00-K95,5231,27544,0.18991431890792912
10420,2021,L00-L99,6208,27544,0.22538483880336915
10420,2021,M00-M99,9030,27544,0.3278390938135347
10420,2021,N00-N99,5648,27544,0.20505373221028173
10420,2021,O00-O9A,729,27544,0.026466744118501306
10420,2021,P00-P96,348,27544,0.012634330525704328
10420,2021,Q00-Q99,788,27544,0.02860877142027302
10420,2021,R00-R99,14415,27544,0.5233444670345628
10420,2021,S00-T88,4820,27544,0.17499273889050246
10420,2021,U00-U85,2007,27544,0.07286523380772582
10420,2021,V00-Y99,1462,27544,0.05307871042695324
10420,2021,Z00-Z99,24036,27544,0.8726401394133023
15940,2016,A00-B99,3515,28070,0.12522265764161025
15940,2016,C00-D49,3369,28070,0.12002137513359458
15940,2016,D50-D89,1637,28070,0.058318489490559317
15940,2016,E00-E89,9060,28070,0.32276451727823297
15940,2016,F01-F99,7097,28070,0.2528322052012825
15940,2016,G00-G99,4655,28070,0.1658354114713217
15940,2016,H00-H59,3447,28070,0.12280014250089064
15940,2016,H60-H95,3450,28070,0.12290701816886355
15940,2016,I00-I99,6227,28070,0.2218382614891343
15940,2016,J00-J99,10959,28070,0.3904168151050944
15940,2016,K00-K95,5599,28070,0.19946562166013537
15940,2016,L00-L99,5652,28070,0.20135375846099038
15940,2016,M00-M99,9601,28070,0.3420377627360171
15940,2016,N00-N99,5713,28070,0.20352689704310653
15940,2016,O00-O9A,830,28070,0.029568934805842537
15940,2016,P00-P96,284,28070,0.010117563234770217
15940,2016,Q00-Q99,674,28070,0.024011400071250445
15940,2016,R00-R99,13649,28070,0.48624866405415035
15940,2016,S00-T88,5769,28070,0.20552190951193444
15940,2016,V00-Y99,1014,28070,0.03612397577484859
15940,2016,Z00-Z99,21153,28070,0.753580334877093
15940,2017,A00-B99,3734,30400,0.12282894736842105
15940,2017,C00-D49,3688,30400,0.12131578947368421
15940,2017,D50-D89,1984,30400,0.06526315789473684
15940,2017,E00-E89,10154,30400,0.33401315789473685
15940,2017,F01-F99,7995,30400,0.26299342105263157
15940,2017,G00-G99,5338,30400,0.17559210526315788
15940,2017,H00-H59,3672,30400,0.12078947368421053
15940,2017,H60-H95,3705,30400,0.121875
15940,2017,I00-I99,6726,30400,0.22125
15940,2017,J00-J99,12142,30400,0.39940789473684213
15940,2017,K00-K95,6021,30400,0.19805921052631578
15940,2017,L00-L99,6227,30400,0.20483552631578947
15940,2017,M00-M99,10198,30400,0.3354605263157895
15940,2017,N00-N99,6386,30400,0.2100657894736842
15940,2017,O00-O9A,954,30400,0.03138157894736842
15940,2017,P00-P96,333,30400,0.010953947368421053
15940,2017,Q00-Q99,745,30400,0.02450657894736842
15940,2017,R00-R99,15137,30400,0.49792763157894737
15940,2017,S00-T88,5978,30400,0.19664473684210526
15940,2017,V00-Y99,1005,30400,0.03305921052631579
15940,2017,Z00-Z99,23581,30400,0.7756907894736842
15940,2018,A00-B99,4226,33699,0.12540431466809104
15940,2018,C00-D49,3987,33699,0.11831211608653076
15940,2018,D50-D89,2165,33699,0.0642452298287783
15940,2018,E00-E89,11947,33699,0.3545209056648565
15940,2018,F01-F99,9616,33699,0.28534971364135436
15940,2018,G00-G99,6182,33699,0.18344758004688566
15940,2018,H00-H59,4623,33699,0.13718507967595478
15940,2018,H60-H95,4181,33699,0.12406896347072613
15940,2018,I00-I99,7451,33699,0.22110448381257605
15940,2018,J00-J99,12650,33699,0.37538205881480163
15940,2018,K00-K95,6839,33699,0.20294370752841331
15940,2018,L00-L99,6954,33699,0.20635627169945694
15940,2018,M00-M99,11607,33699,0.3444315855069883
15940,2018,N00-N99,7009,33699,0.2079883676073474
15940,2018,O00-O9A,1013,33699,0.030060239176236684
15940,2018,P00-P96,390,33699,0.01157304371049586
15940,2018,Q00-Q99,890,33699,0.026410279236772603
15940,2018,R00-R99,17125,33699,0.5081753167749785
