COUNTYFP,County_population,SDI_score,PovertyLT100_FPL_score,Single_Parent_Fam_score,Education_LT12years_score,HHNo_Vehicle_score,HHRenter_Occupied_score,HHCrowding_score,Nonemployed_score,sdi,pct_Poverty_LT100,pct_Single_Parent_Fam,pct_Education_LT12years,pct_NonEmployed,pctHH_No_Vehicle,pctHH_Renter_Occupied,pctHH_Crowding
101,65299,60,63,60,60,79,44,19,96,0.30966297,0.14812194,0.14112598,0.12097262,0.59599841,0.091886647,0.33625743,0.014229696
103,177980,2,5,9,3,14,5,9,6,-1.9334368,0.060277253,0.086948469,0.04941589,0.26337808,0.041242193,0.20112452,0.011216253
105,23078,66,91,36,82,62,7,23,96,0.53017581,0.19638164,0.11935906,0.16390167,0.59615386,0.071862906,0.21381979,0.015699282
107,40884,4,7,17,22,9,10,14,1,-1.7010924,0.064291209,0.099816769,0.078615069,0.20913519,0.03597388,0.22982629,0.01318221
109,105371,13,21,20,30,36,28,3,25,-1.1976292,0.091512002,0.1038311,0.088269912,0.32386678,0.054601271,0.28920889,0.0080403481
111,13942,53,83,41,48,63,8,13,98,0.1450782,0.17100966,0.12417262,0.10861608,0.64040059,0.073803306,0.21740644,0.012706702
113,531670,69,80,93,39,81,66,16,63,0.60935229,0.16645582,0.18539594,0.099096701,0.39383104,0.095333621,0.39021432,0.013622909
115,14640,68,90,48,77,50,11,37,96,0.58472317,0.19237171,0.13267326,0.14680302,0.6012156,0.062704653,0.23297314,0.019973805
117,35043,21,24,17,62,49,2,44,24,-0.9125548,0.09701708,0.099841855,0.12308265,0.321298,0.061909921,0.18186039,0.022210184
119,86131,62,78,65,60,55,34,21,76,0.38935333,0.16040233,0.14569357,0.12235956,0.43061024,0.067595489,0.31011274,0.014817876
121,14416,48,72,1,79,72,2,1,100,-0.017542904,0.15582904,0.054716982,0.15302619,1.1034147,0.083678707,0.18058023,0.005328597
123,40632,11,27,14,26,17,7,1,28,-1.3543959,0.10100909,0.097548693,0.083094746,0.33163533,0.042933911,0.21162263,0.0064262366
125,18809,17,25,39,37,21,6,21,53,-1.0591636,0.098788597,0.12297496,0.095113307,0.37625226,0.045165475,0.2101233,0.015184944
127,36022,68,89,68,65,63,19,25,90,0.57293016,0.19137231,0.1501193,0.12674287,0.51409537,0.073111109,0.26296297,0.016370371
129,57762,38,42,41,65,21,16,26,93,-0.37445632,0.12133276,0.12517542,0.12824526,0.53633678,0.045205478,0.25428715,0.016793506
131,28000,80,88,47,90,82,50,21,97,0.94062108,0.18682353,0.1311387,0.19797948,0.63045758,0.096176662,0.35213068,0.01487362
133,162511,27,46,41,20,51,32,2,45,-0.68551606,0.12787522,0.12453184,0.07619337,0.36339381,0.063412979,0.30460876,0.0075222026
135,41093,14,27,20,37,34,7,10,29,-1.1710556,0.10138978,0.10373043,0.095965557,0.33391416,0.05291982,0.21647899,0.011814658
137,33911,3,12,12,17,8,2,5,2,-1.7751939,0.076330639,0.094643041,0.072494574,0.23343055,0.034216251,0.18413746,0.0095295263
139,121100,51,50,46,68,83,41,19,81,0.058565799,0.13505223,0.1292616,0.13068081,0.46539,0.098474681,0.32644635,0.01426242
141,76948,65,84,67,62,49,28,17,97,0.48640138,0.17332582,0.14996468,0.1239865,0.61521685,0.061766542,0.29074371,0.013783765
143,59029,27,38,66,38,47,23,4,27,-0.70910537,0.11622587,0.14760596,0.096348517,0.32713422,0.06057521,0.27275813,0.0089505389
145,76040,81,96,67,79,72,40,37,99,1.0370586,0.22551823,0.14862366,0.15127657,0.68666494,0.083093308,0.32386631,0.019760199
147,55351,30,47,71,25,49,24,2,33,-0.62379539,0.12810506,0.1529104,0.082831807,0.34014428,0.061160386,0.27743903,0.0077143386
149,48749,19,18,60,39,13,27,44,5,-0.97084105,0.088202864,0.14226328,0.097582839,0.25924462,0.040305246,0.28815565,0.022463456
151,372404,36,51,71,26,60,37,5,35,-0.41197091,0.13557896,0.15285566,0.083802342,0.34467614,0.070363611,0.31799817,0.0093705198
153,541334,38,49,65,25,73,47,6,35,-0.36297891,0.1321879,0.14660972,0.082538478,0.34506986,0.084516257,0.34197199,0.0098564476
155,200367,61,83,66,46,60,29,19,79,0.34399104,0.17235363,0.14726774,0.10607371,0.45127007,0.070765346,0.29420352,0.014248841
157,92335,41,46,30,74,63,29,26,31,-0.25814122,0.1280909,0.11278874,0.14042129,0.3365328,0.072779886,0.29281211,0.016652562
159,56707,3,4,19,12,9,7,6,29,-1.7962229,0.058922779,0.1022187,0.065670706,0.33280253,0.035572927,0.21521868,0.010142489
161,28261,18,34,70,29,25,10,1,18,-1.0093509,0.11106718,0.1523471,0.08714249,0.30427948,0.047903672,0.22912335,0.0051108799
163,13083,72,89,27,90,63,13,42,93,0.64804351,0.18967521,0.11111111,0.19333333,0.54048902,0.073346302,0.23988327,0.021595331
165,229132,2,1,6,9,6,9,2,28,-1.9241438,0.045516998,0.082890883,0.061553821,0.33008057,0.030280748,0.22339284,0.006473233
167,60426,38,57,49,36,41,19,16,78,-0.33536181,0.14209746,0.133683,0.094010577,0.44616166,0.057864033,0.26368219,0.013731794
169,116099,33,34,20,69,80,22,35,28,-0.50076181,0.11284105,0.10368595,0.13479702,0.3313328,0.094012417,0.27039978,0.019418584
171,36816,17,34,31,36,18,10,7,29,-1.0566015,0.11167427,0.11443772,0.09457086,0.332387,0.04333996,0.22995362,0.010735586
173,130150,22,47,33,7,22,48,1,14,-0.82891232,0.12921534,0.11688565,0.056781907,0.29201886,0.04607721,0.34744707,0.0050603887
175,22000,10,11,65,24,20,18,3,6,-1.4031932,0.074417964,0.14611872,0.08114323,0.26358309,0.044708733,0.25933269,0.008038762
