ZCTA5_FIPS,ZCTA5_population,SDI_score,PovertyLT100_FPL_score,Single_Parent_Fam_score,Education_LT12years_score,HHNo_Vehicle_score,HHRenter_Occupied_score,HHCrowding_score,Nonemployed_score,sdi,pct_Poverty_LT100,pct_Single_Parent_Fam,pct_Education_LT12years,pct_NonEmployed,pctHH_No_Vehicle,pctHH_Renter_Occupied,pctHH_Crowding
45845,2931,1.0,6.0,4.0,13.0,4.0,3.0,5.0,6.0,-1.843822,0.03650631,0.041567694,0.040616967,0.19408081,0.011659193,0.09686099,0.0017937219
45846,4231,12.0,23.0,13.0,41.0,16.0,6.0,24.0,1.0,-1.2582996,0.066650912,0.065602839,0.082780167,0.1532613,0.02455209,0.12408759,0.01128069
45849,1018,13.0,17.0,19.0,24.0,13.0,15.0,53.0,17.0,-1.2059081,0.055992141,0.077181205,0.056231003,0.22365989,0.021164021,0.18518518,0.023809524
45850,3530,15.0,42.0,36.0,23.0,2.0,5.0,18.0,18.0,-1.1360493,0.099430196,0.10327706,0.055488542,0.22652689,0.0055423593,0.11797308,0.0087094223
45851,839,44.0,44.0,61.0,79.0,8.0,39.0,58.0,1.0,-0.18090546,0.10369488,0.14285715,0.17647059,0.15053764,0.016611295,0.2857143,0.026578072
45853,1293,14.0,2.0,37.0,28.0,49.0,41.0,1.0,1.0,-1.1639048,0.023558082,0.10471204,0.062929064,0.10733695,0.053435113,0.29198474,0.0
45854,458,28.0,10.0,99.0,36.0,37.0,43.0,1.0,39.0,-0.68267798,0.044345897,0.32478634,0.074829929,0.26277372,0.042168673,0.30120483,0.0
45855,147,31.0,55.0,57.0,3.0,40.0,18.0,63.0,71.0,-0.56931669,0.12413793,0.13636364,0.018518519,0.32743362,0.045454547,0.1969697,0.030303031
45856,5187,40.0,48.0,33.0,66.0,53.0,25.0,43.0,24.0,-0.30153298,0.1097537,0.098841697,0.13246438,0.23781291,0.057217848,0.22782153,0.018897638
45858,2972,18.0,8.0,19.0,44.0,55.0,28.0,31.0,5.0,-1.0223898,0.03936743,0.07776428,0.087151393,0.18743169,0.058974359,0.24188034,0.013675214
45859,483,71.0,73.0,52.0,90.0,90.0,23.0,36.0,88.0,0.59624887,0.17154811,0.12878788,0.23452769,0.39318886,0.15706806,0.21989529,0.015706806
45860,2382,12.0,1.0,10.0,47.0,1.0,29.0,57.0,1.0,-1.2505288,0.011754828,0.06031746,0.092307694,0.10834371,0.0,0.24512196,0.025609756
45861,233,76.0,88.0,98.0,77.0,66.0,10.0,80.0,75.0,0.7922821,0.23175965,0.32142857,0.16666667,0.33802816,0.072916664,0.15625,0.052083332
45862,1420,24.0,48.0,17.0,58.0,2.0,12.0,1.0,27.0,-0.81741464,0.11174377,0.074358977,0.1141649,0.24209246,0.003649635,0.16788322,0.0
45863,1398,11.0,13.0,69.0,14.0,4.0,15.0,5.0,3.0,-1.2721014,0.050541516,0.15883669,0.041666668,0.17703862,0.0096899224,0.18217054,0.0019379845
45864,159,5.0,10.0,33.0,9.0,19.0,1.0,1.0,1.0,-1.5704701,0.044025157,0.1,0.03305785,0.13043478,0.027027028,0.054054055,0.0
45865,4859,4.0,3.0,17.0,20.0,5.0,15.0,14.0,1.0,-1.63402,0.029238535,0.074155651,0.051029544,0.15126051,0.012048192,0.18334207,0.0068098479
45866,111,13.0,3.0,83.0,1.0,8.0,54.0,1.0,6.0,-1.2134222,0.027027028,0.19354838,0.0,0.19178082,0.016393442,0.3442623,0.0
45867,968,2.0,2.0,7.0,25.0,7.0,4.0,1.0,9.0,-1.7508737,0.025826447,0.052447554,0.057553958,0.2046589,0.015424165,0.10539846,0.0
45868,604,6.0,5.0,21.0,33.0,28.0,3.0,1.0,9.0,-1.5370818,0.035117056,0.081218272,0.069767445,0.20253165,0.034782607,0.091304347,0.0
45869,4875,1.0,1.0,3.0,6.0,4.0,10.0,36.0,3.0,-1.7989948,0.019926047,0.033557046,0.027444795,0.17027026,0.011560693,0.15239096,0.015764583
45870,276,17.0,1.0,1.0,92.0,1.0,1.0,1.0,47.0,-1.0531244,0.0,0.0,0.25609756,0.27710843,0.0,0.0,0.0
45871,2103,21.0,41.0,28.0,4.0,2.0,45.0,18.0,14.0,-0.91250831,0.09747979,0.091653027,0.023842918,0.21806346,0.0037974683,0.3063291,0.0088607594
45872,4200,54.0,58.0,53.0,75.0,78.0,44.0,13.0,19.0,0.11185829,0.13182262,0.1302966,0.15783972,0.22926649,0.094217025,0.30474335,0.0064977258
45873,1855,40.0,56.0,36.0,68.0,6.0,18.0,6.0,91.0,-0.3138707,0.12830189,0.10420475,0.13974455,0.40574163,0.013422819,0.19865772,0.0026845639
